,DrugBank ID,NCI Drug Name,DrugBank Drug Name,All Synonyms
25,DB00041,Proleukin (Aldesleukin),Aldesleukin,"125-L-serine-2-133-interleukin 2 (human reduced),Interleukin-2 aldesleukin,Interleukin-2(2-133),125-ser,Recombinant interleukin-2 human"
26,DB00398,Sorafenib Tosylate,Sorafenib,"4-(4-((((4-Chloro-3-(trifluoromethyl)phenyl)amino)carbonyl)amino)phenoxy)-N-methyl-2-pyridinecarboxamide,N-(4-Chloro-3-(trifluoromethyl)phenyl)-N'-(4-(2-(N-methylcarbamoyl)-4-pyridyloxy)phenyl)urea"
27,DB01268,Sunitinib Malate,Sunitinib,
28,DB01268,Sutent (Sunitinib Malate),Sunitinib,
29,DB06287,Temsirolimus,Temsirolimus,Temsirolimus
30,DB11800,Tivozanib Hydrochloride,Tivozanib,Tivozanib
31,DB06287,Torisel (Temsirolimus),Temsirolimus,Temsirolimus
32,DB06589,Votrient (Pazopanib Hydrochloride),Pazopanib,
33,DB06186,Yervoy (Ipilimumab),Ipilimumab,Ipilimumab
34,DB00112,Zirabev (Bevacizumab),Bevacizumab,"Anti-VEGF Humanized Monoclonal Antibody,Anti-VEGF monoclonal antibody,Bevacizumab,bevacizumab-awwb,rhuMAb-VEGF"
35,DB00305,Jelmyto (Mitomycin),Mitomycin,"7-Amino-9alpha-methoxymitosane,Ametycine,Mitamycin,Mitocin-C,Mitomycin,Mitomycin C,MMC"
36,DB00305,Mitomycin,Mitomycin,"7-Amino-9alpha-methoxymitosane,Ametycine,Mitamycin,Mitocin-C,Mitomycin,Mitomycin C,MMC"
37,DB00970,Cosmegen (Dactinomycin),Dactinomycin,"2-amino-N,N'-bis(hexadecahydro-2,5,9-trimethyl-6,13-bis(1-methylethyl)-1,4,7,11,14-pentaoxo-1H-pyrrolo(2,1-i)(1,4,7,10,13)oxatetra-azacyclohexadecin-10-yl)-4,6-dimethyl-3-oxo-3H-phenoxazine-1,9-dicarboxamide,ActD,Actinomycin C1,Actinomycin D,Actinomycin IV,Dactinomycin,Meractinomycin"
38,DB00970,Dactinomycin,Dactinomycin,"2-amino-N,N'-bis(hexadecahydro-2,5,9-trimethyl-6,13-bis(1-methylethyl)-1,4,7,11,14-pentaoxo-1H-pyrrolo(2,1-i)(1,4,7,10,13)oxatetra-azacyclohexadecin-10-yl)-4,6-dimethyl-3-oxo-3H-phenoxazine-1,9-dicarboxamide,ActD,Actinomycin C1,Actinomycin D,Actinomycin IV,Dactinomycin,Meractinomycin"
39,DB00997,Doxorubicin Hydrochloride,Doxorubicin,"(1S,3S)-3-glycoloyl-3,5,12-trihydroxy-10-methoxy-6,11-dioxo-1,2,3,4,6,11-hexahydrotetracen-1-yl 3-amino-2,3,6-trideoxy-α-L-lyxo-hexopyranoside,(8S-cis)-10-((3-amino-2,3,6-trideoxy-α-L-lyxo-hexopyranosyl)oxy)-7,8,9,10-tetrahydro-6,8,11-trihydroxy-8-(hydroxyacetyl)-1-methoxy-5,12-naphthacenedione,14-hydroxydaunomycin,14-hydroxydaunorubicine,Doxorubicin,Hydroxydaunorubicin"
40,DB00541,Vincristine Sulfate,Vincristine,"22-Oxovincaleukoblastin,22-Oxovincaleukoblastine,Leurocristine,Vincristine"
