,DrugBank ID,NCI Drug Name,DrugBank Drug Name,All Synonyms
15,DB09063,Ceritinib,Ceritinib,"Ceritinib,N-{2-[(5-chloro-2-{[2-isopropoxy-5-methyl-4-(piperidin-4-yl)phenyl]amino}pyrimidin-4-yl)amino]phenyl}propane-2-sulfonamide"
16,DB08865,Crizotinib,Crizotinib,(R)-crizotinib
17,DB05578,Cyramza (Ramucirumab),Ramucirumab,
18,DB08912,Dabrafenib Mesylate,Dabrafenib,Dabrafenib
19,DB11963,Dacomitinib,Dacomitinib,Dacomitinib anhydrous
20,DB01248,Docetaxel,Docetaxel,"Docetaxel,Docetaxel anhydrous,N-Debenzoyl-N-(tert-butoxycarbonyl)-10-deacetylpaclitaxel,N-Debenzoyl-N-(tert-butoxycarbonyl)-10-deacetyltaxol,TXL"
21,DB00997,Doxorubicin Hydrochloride,Doxorubicin,"(1S,3S)-3-glycoloyl-3,5,12-trihydroxy-10-methoxy-6,11-dioxo-1,2,3,4,6,11-hexahydrotetracen-1-yl 3-amino-2,3,6-trideoxy-α-L-lyxo-hexopyranoside,(8S-cis)-10-((3-amino-2,3,6-trideoxy-α-L-lyxo-hexopyranosyl)oxy)-7,8,9,10-tetrahydro-6,8,11-trihydroxy-8-(hydroxyacetyl)-1-methoxy-5,12-naphthacenedione,14-hydroxydaunomycin,14-hydroxydaunorubicine,Doxorubicin,Hydroxydaunorubicin"
22,DB11714,Durvalumab,Durvalumab,
23,DB11986,Entrectinib,Entrectinib,Entrectinib
24,DB00530,Erlotinib Hydrochloride,Erlotinib,"[6,7-Bis-(2-methoxy-ethoxy)-quinazolin-4-yl]-(3-ethynyl-phenyl)-amine,Erlotinib"
25,DB01590,Everolimus,Everolimus,"40-O-(2-hydroxyethyl)-rapamycin,42-O-(2-Hydroxyethyl)rapamycin"
26,DB15822,Gavreto (Pralsetinib),Pralsetinib,Pralsetinib
27,DB00317,Gefitinib,Gefitinib,"4-(3'-chloro-4'-fluoroanilino)-7-methoxy-6-(3-morpholinopropoxy)quinazoline,Gefitinib,N-(3-chloro-4-fluorophenyl)-7-methoxy-6-(3-(4-morpholinyl)propoxy)-4-quinazolinamine"
28,DB08916,Gilotrif (Afatinib Dimaleate),Afatinib,
29,DB00441,Gemcitabine Hydrochloride,Gemcitabine,"2'-Deoxy-2',2'-difluorocytidine,2',2'-Difluorodeoxycytidine,4-amino-1-((2R,4R,5R)-3,3-difluoro-4-hydroxy-5-(hydroxymethyl)-tetrahydrofuran-2-yl)pyrimidin-2(1H)-one"
30,DB00441,Gemzar (Gemcitabine Hydrochloride),Gemcitabine,"2'-Deoxy-2',2'-difluorocytidine,2',2'-Difluorodeoxycytidine,4-amino-1-((2R,4R,5R)-3,3-difluoro-4-hydroxy-5-(hydroxymethyl)-tetrahydrofuran-2-yl)pyrimidin-2(1H)-one"
31,DB11714,Imfinzi (Durvalumab),Durvalumab,
32,DB00441,Infugem (Gemcitabine Hydrochloride),Gemcitabine,"2'-Deoxy-2',2'-difluorocytidine,2',2'-Difluorodeoxycytidine,4-amino-1-((2R,4R,5R)-3,3-difluoro-4-hydroxy-5-(hydroxymethyl)-tetrahydrofuran-2-yl)pyrimidin-2(1H)-one"
33,DB06186,Ipilimumab,Ipilimumab,Ipilimumab
34,DB00317,Iressa (Gefitinib),Gefitinib,"4-(3'-chloro-4'-fluoroanilino)-7-methoxy-6-(3-morpholinopropoxy)quinazoline,Gefitinib,N-(3-chloro-4-fluorophenyl)-7-methoxy-6-(3-(4-morpholinyl)propoxy)-4-quinazolinamine"
35,DB09037,Keytruda (Pembrolizumab),Pembrolizumab,Lambrolizumab
36,DB14707,Libtayo (Cemiplimab-rwlc),Cemiplimab,Cemiplimab-rwlc
37,DB12130,Lorbrena (Lorlatinib),Lorlatinib,Lorlatinib
38,DB12130,Lorlatinib,Lorlatinib,Lorlatinib
39,DB08911,Mekinist (Trametinib Dimethyl Sulfoxide),Trametinib,
40,DB00563,Methotrexate Sodium,Methotrexate,"4-amino-10-methylfolic acid,4-amino-N(10)-methylpteroylglutamic acid,Amethopterin,Methotrexate,MTX,N-[4-[[(2,4-diamino-6-pteridinyl)methyl]methylamino]benzoyl]-L-glutamic acid"
41,DB00112,Mvasi (Bevacizumab),Bevacizumab,"Anti-VEGF Humanized Monoclonal Antibody,Anti-VEGF monoclonal antibody,Bevacizumab,bevacizumab-awwb,rhuMAb-VEGF"
42,DB09559,Necitumumab,Necitumumab,
43,DB09035,Nivolumab,Nivolumab,Nivolumab
44,DB09035,Opdivo (Nivolumab),Nivolumab,Nivolumab
45,DB09330,Osimertinib Mesylate,Osimertinib,"Mereletinib,N-(2-{[2-(dimethylamino)ethyl](methyl)amino}-4-methoxy-5-{[4-(1-methyl-1H-indol-3-yl)pyrimidin-2-yl]amino}phenyl)prop-2-enamide"
46,DB01229,Paclitaxel,Paclitaxel,"5beta,20-Epoxy-1,2-alpha,4,7beta,10beta,13alpha-hexahydroxytax-11-en-9-one 4,10-diacetate 2-benzoate 13-ester with (2R,3S)-N-benzoyl-3-phenylisoserine,Paclitaxel,Taxol A"
47,DB01229,Paclitaxel Albumin-stabilized Nanoparticle Formulation,Paclitaxel,"5beta,20-Epoxy-1,2-alpha,4,7beta,10beta,13alpha-hexahydroxytax-11-en-9-one 4,10-diacetate 2-benzoate 13-ester with (2R,3S)-N-benzoyl-3-phenylisoserine,Paclitaxel,Taxol A"
48,DB00958,Paraplat (Carboplatin),Carboplatin,"Carboplatin,CBDCA,cis-(1,1-cyclobutanedicarboxylato)diammineplatinum(II),cis-diammine(1,1-cyclobutanedicarboxylato)platinum,cis-diammine(1,1-cyclobutanedicarboxylato)platinum(II)"
49,DB00958,Paraplatin (Carboplatin),Carboplatin,"Carboplatin,CBDCA,cis-(1,1-cyclobutanedicarboxylato)diammineplatinum(II),cis-diammine(1,1-cyclobutanedicarboxylato)platinum,cis-diammine(1,1-cyclobutanedicarboxylato)platinum(II)"
50,DB09037,Pembrolizumab,Pembrolizumab,Lambrolizumab
51,DB00642,Pemetrexed Disodium,Pemetrexed,Pemetrexed
52,DB09559,Portrazza (Necitumumab),Necitumumab,
53,DB15822,Pralsetinib,Pralsetinib,Pralsetinib
54,DB05578,Ramucirumab,Ramucirumab,
55,DB15685,Retevmo (Selpercatinib),Selpercatinib,Selpercatinib
56,DB11986,Rozlytrek (Entrectinib),Entrectinib,Entrectinib
57,DB15685,Selpercatinib,Selpercatinib,Selpercatinib
58,DB11791,Tabrecta (Capmatinib Hydrochloride),Capmatinib,Capmatinib
59,DB08912,Tafinlar (Dabrafenib Mesylate),Dabrafenib,Dabrafenib
60,DB09330,Tagrisso (Osimertinib Mesylate),Osimertinib,"Mereletinib,N-(2-{[2-(dimethylamino)ethyl](methyl)amino}-4-methoxy-5-{[4-(1-methyl-1H-indol-3-yl)pyrimidin-2-yl]amino}phenyl)prop-2-enamide"
61,DB00530,Tarceva (Erlotinib Hydrochloride),Erlotinib,"[6,7-Bis-(2-methoxy-ethoxy)-quinazolin-4-yl]-(3-ethynyl-phenyl)-amine,Erlotinib"
62,DB01248,Taxotere (Docetaxel),Docetaxel,"Docetaxel,Docetaxel anhydrous,N-Debenzoyl-N-(tert-butoxycarbonyl)-10-deacetylpaclitaxel,N-Debenzoyl-N-(tert-butoxycarbonyl)-10-deacetyltaxol,TXL"
63,DB11595,Tecentriq (Atezolizumab),Atezolizumab,Atezolizumab
64,DB15133,Tepmetko (Tepotinib Hydrochloride),Tepotinib,
65,DB15133,Tepotinib Hydrochloride,Tepotinib,
66,DB01093,Trametinib Dimethyl Sulfoxide,Dimethyl sulfoxide,"Dimethyl sulfoxide,Dimethyl sulfur oxide,Dimethyl sulphoxide,DMSO,Methylsulfinylmethane,S(O)Me2,Sulfinylbis(methane)"
67,DB00563,Trexall (Methotrexate Sodium),Methotrexate,"4-amino-10-methylfolic acid,4-amino-N(10)-methylpteroylglutamic acid,Amethopterin,Methotrexate,MTX,N-[4-[[(2,4-diamino-6-pteridinyl)methyl]methylamino]benzoyl]-L-glutamic acid"
68,DB11963,Vizimpro (Dacomitinib),Dacomitinib,Dacomitinib anhydrous
69,DB00361,Vinorelbine Tartrate,Vinorelbine,"5'-Noranhydrovinblastine,Vinorelbine"
70,DB08865,Xalkori (Crizotinib),Crizotinib,(R)-crizotinib
71,DB06186,Yervoy (Ipilimumab),Ipilimumab,Ipilimumab
72,DB00112,Zirabev (Bevacizumab),Bevacizumab,"Anti-VEGF Humanized Monoclonal Antibody,Anti-VEGF monoclonal antibody,Bevacizumab,bevacizumab-awwb,rhuMAb-VEGF"
73,DB09063,Zykadia (Ceritinib),Ceritinib,"Ceritinib,N-{2-[(5-chloro-2-{[2-isopropoxy-5-methyl-4-(piperidin-4-yl)phenyl]amino}pyrimidin-4-yl)amino]phenyl}propane-2-sulfonamide"
74,DB01590,Afinitor (Everolimus),Everolimus,"40-O-(2-hydroxyethyl)-rapamycin,42-O-(2-Hydroxyethyl)rapamycin"
75,DB11595,Atezolizumab,Atezolizumab,Atezolizumab
76,DB00997,Doxorubicin Hydrochloride,Doxorubicin,"(1S,3S)-3-glycoloyl-3,5,12-trihydroxy-10-methoxy-6,11-dioxo-1,2,3,4,6,11-hexahydrotetracen-1-yl 3-amino-2,3,6-trideoxy-α-L-lyxo-hexopyranoside,(8S-cis)-10-((3-amino-2,3,6-trideoxy-α-L-lyxo-hexopyranosyl)oxy)-7,8,9,10-tetrahydro-6,8,11-trihydroxy-8-(hydroxyacetyl)-1-methoxy-5,12-naphthacenedione,14-hydroxydaunomycin,14-hydroxydaunorubicine,Doxorubicin,Hydroxydaunorubicin"
77,DB11714,Durvalumab,Durvalumab,
78,DB00773,Etopophos (Etoposide Phosphate),Etoposide,"(−)-etoposide,4-demethylepipodophyllotoxin β-D-ethylideneglucoside,4'-Demethylepipodophyllotoxin 9-(4,6-O-(R)-ethylidene-beta-D-glucopyranoside),9-((4,6-O-Ethylidine-beta-D-glucopyranosyl)oxy)-5,8,8a,9-tetrahydro-5-(4-hydroxy-3,4-dimethyloxyphenyl)furo(3',4'':6,7)naptho-(2,3-d)-1,3-dioxol-6(5aH)-one,Etoposide,trans-Etoposide"
79,DB00773,Etoposide,Etoposide,"(−)-etoposide,4-demethylepipodophyllotoxin β-D-ethylideneglucoside,4'-Demethylepipodophyllotoxin 9-(4,6-O-(R)-ethylidene-beta-D-glucopyranoside),9-((4,6-O-Ethylidine-beta-D-glucopyranosyl)oxy)-5,8,8a,9-tetrahydro-5-(4-hydroxy-3,4-dimethyloxyphenyl)furo(3',4'':6,7)naptho-(2,3-d)-1,3-dioxol-6(5aH)-one,Etoposide,trans-Etoposide"
80,DB00773,Etoposide Phosphate,Etoposide,"(−)-etoposide,4-demethylepipodophyllotoxin β-D-ethylideneglucoside,4'-Demethylepipodophyllotoxin 9-(4,6-O-(R)-ethylidene-beta-D-glucopyranoside),9-((4,6-O-Ethylidine-beta-D-glucopyranosyl)oxy)-5,8,8a,9-tetrahydro-5-(4-hydroxy-3,4-dimethyloxyphenyl)furo(3',4'':6,7)naptho-(2,3-d)-1,3-dioxol-6(5aH)-one,Etoposide,trans-Etoposide"
81,DB01590,Everolimus,Everolimus,"40-O-(2-hydroxyethyl)-rapamycin,42-O-(2-Hydroxyethyl)rapamycin"
82,DB01030,Hycamtin (Topotecan Hydrochloride),Topotecan,"9-[(dimethylamino)methyl]-10-hydroxy-(4S)-camptothecin,Topotecan"
83,DB11714,Imfinzi (Durvalumab),Durvalumab,
84,DB12674,Lurbinectedin,Lurbinectedin,Lurbinectedin
85,DB00563,Methotrexate Sodium,Methotrexate,"4-amino-10-methylfolic acid,4-amino-N(10)-methylpteroylglutamic acid,Amethopterin,Methotrexate,MTX,N-[4-[[(2,4-diamino-6-pteridinyl)methyl]methylamino]benzoyl]-L-glutamic acid"
86,DB09035,Nivolumab,Nivolumab,Nivolumab
87,DB09035,Opdivo (Nivolumab),Nivolumab,Nivolumab
88,DB11595,Tecentriq (Atezolizumab),Atezolizumab,Atezolizumab
89,DB01030,Topotecan Hydrochloride,Topotecan,"9-[(dimethylamino)methyl]-10-hydroxy-(4S)-camptothecin,Topotecan"
90,DB00563,Trexall (Methotrexate Sodium),Methotrexate,"4-amino-10-methylfolic acid,4-amino-N(10)-methylpteroylglutamic acid,Amethopterin,Methotrexate,MTX,N-[4-[[(2,4-diamino-6-pteridinyl)methyl]methylamino]benzoyl]-L-glutamic acid"
91,DB12674,Zepzelca (Lurbinectedin),Lurbinectedin,Lurbinectedin
