,DrugBank ID,NCI Drug Name,DrugBank Drug Name,All Synonyms
28,DB00441,Gemcitabine Hydrochloride,Gemcitabine,"2'-Deoxy-2',2'-difluorocytidine,2',2'-Difluorodeoxycytidine,4-amino-1-((2R,4R,5R)-3,3-difluoro-4-hydroxy-5-(hydroxymethyl)-tetrahydrofuran-2-yl)pyrimidin-2(1H)-one"
29,DB00441,Gemzar (Gemcitabine Hydrochloride),Gemcitabine,"2'-Deoxy-2',2'-difluorocytidine,2',2'-Difluorodeoxycytidine,4-amino-1-((2R,4R,5R)-3,3-difluoro-4-hydroxy-5-(hydroxymethyl)-tetrahydrofuran-2-yl)pyrimidin-2(1H)-one"
30,DB00014,Goserelin Acetate,Goserelin,Goserelin
31,DB08871,Halaven (Eribulin Mesylate),Eribulin,Eribulin
32,DB00072,Herceptin Hylecta (Trastuzumab and Hyaluronidase-oysk),Trastuzumab,"RHUMAB HER2,trastuzumab-anns,trastuzumab-dkst,trastuzumab-dttb,trastuzumab-pkrb,trastuzumab-qyyp"
33,DB00072,Herceptin (Trastuzumab),Trastuzumab,"RHUMAB HER2,trastuzumab-anns,trastuzumab-dkst,trastuzumab-dttb,trastuzumab-pkrb,trastuzumab-qyyp"
34,DB09073,Ibrance (Palbociclib),Palbociclib,"6-acetyl-8-cyclopentyl-5-methyl-2-{[5-(piperazin-1-yl)pyridin-2-yl]amino}pyrido[2,3-d]pyrimidin-7(8H)-one,Palbociclib"
35,DB00441,Infugem (Gemcitabine Hydrochloride),Gemcitabine,"2'-Deoxy-2',2'-difluorocytidine,2',2'-Difluorodeoxycytidine,4-amino-1-((2R,4R,5R)-3,3-difluoro-4-hydroxy-5-(hydroxymethyl)-tetrahydrofuran-2-yl)pyrimidin-2(1H)-one"
36,DB04845,Ixabepilone,Ixabepilone,"Aza-epothilone B,Azaepothilone B,Ixabepilone"
37,DB04845,Ixempra (Ixabepilone),Ixabepilone,"Aza-epothilone B,Azaepothilone B,Ixabepilone"
38,DB05773,Kadcyla (Ado-Trastuzumab Emtansine),Trastuzumab emtansine,"Ado-trastuzumab,Ado-trastuzumab emtansine,T-DM1,Trastuzumab emtansine,Trastuzumab-DM1,Trastuzumab-MCC-DM1"
39,DB09037,Keytruda (Pembrolizumab),Pembrolizumab,Lambrolizumab
40,DB11730,Kisqali (Ribociclib),Ribociclib,Ribociclib
41,DB01259,Lapatinib Ditosylate,Lapatinib,"Lapatinib,N-(3-chloro-4-((3-fluorophenyl)methoxy)phenyl)-6-(5-(((2-(methylsulfonyl)ethyl)amino)methyl)-2-furanyl)-4-quinazolinamine"
42,DB01006,Letrozole,Letrozole,"Letrozol,Letrozole"
43,DB09074,Lynparza (Olaparib),Olaparib,"4-(3-{[4-(cyclopropylcarbonyl)piperazin-1-yl]carbonyl}-4-fluorobenzyl)phthalazin-1(2H)-one,Olaparib"
44,DB14967,Margenza (Margetuximab-cmkb),Margetuximab,"Margetuximab,margetuximab-cmkb"
45,DB14967,Margetuximab-cmkb,Margetuximab,"Margetuximab,margetuximab-cmkb"
46,DB00351,Megestrol Acetate,Megestrol acetate,"17-Acetoxy-6-methylpregna-4,6-diene-3,20-dione,17-Hydroxy-6-methylpregna-4,6-diene-3,20-dione 17-acetate,17alpha-Acetoxy-6-dehydro-6-methylprogesterone,17alpha-Hydroxy-6-methylpregna-4,6-diene-3,20-dione acetate,17α-Acetoxy-6-dehydro-6-methylprogesterone,17α-Hydroxy-6-methylpregna-4,6-diene-3,20-dione acetate,6-Dehydro-6-methyl-17alpha-acetoxyprogesterone,6-Dehydro-6-methyl-17α-acetoxyprogesterone,6-Methyl-17alpha-acetoxypregna-4,6-diene-3,20-dione,6-Methyl-17alpha-hydroxy-delta(sup 6)-progesterone acetate,6-Methyl-17α-acetoxypregna-4,6-diene-3,20-dione,6-Methyl-17α-hydroxy-delta(sup 6)-progesterone acetate,6-Methyl-6-dehydro-17alpha-acetoxyprogesterone,6-Methyl-6-dehydro-17α-acetoxyprogesterone,6-Methyl-delta(sup 4,6)-pregnadien-17alpha-ol-3,20-dione acetate,6-Methyl-delta(sup 4,6)-pregnadien-17α-ol-3,20-dione acetate,6-Methyl-delta(sup 6)-dehydro-17alpha-acetoxyprogesterone,6-Methyl-delta(sup 6)-dehydro-17α-acetoxyprogesterone,Megestrol acetate,MGA"
47,DB00563,Methotrexate Sodium,Methotrexate,"4-amino-10-methylfolic acid,4-amino-N(10)-methylpteroylglutamic acid,Amethopterin,Methotrexate,MTX,N-[4-[[(2,4-diamino-6-pteridinyl)methyl]methylamino]benzoyl]-L-glutamic acid"
48,DB11828,Neratinib Maleate,Neratinib,Neratinib
49,DB11828,Nerlynx (Neratinib Maleate),Neratinib,Neratinib
50,DB09074,Olaparib,Olaparib,"4-(3-{[4-(cyclopropylcarbonyl)piperazin-1-yl]carbonyl}-4-fluorobenzyl)phthalazin-1(2H)-one,Olaparib"
51,DB01229,Paclitaxel,Paclitaxel,"5beta,20-Epoxy-1,2-alpha,4,7beta,10beta,13alpha-hexahydroxytax-11-en-9-one 4,10-diacetate 2-benzoate 13-ester with (2R,3S)-N-benzoyl-3-phenylisoserine,Paclitaxel,Taxol A"
52,DB01229,Paclitaxel Albumin-stabilized Nanoparticle Formulation,Paclitaxel,"5beta,20-Epoxy-1,2-alpha,4,7beta,10beta,13alpha-hexahydroxytax-11-en-9-one 4,10-diacetate 2-benzoate 13-ester with (2R,3S)-N-benzoyl-3-phenylisoserine,Paclitaxel,Taxol A"
53,DB09073,Palbociclib,Palbociclib,"6-acetyl-8-cyclopentyl-5-methyl-2-{[5-(piperazin-1-yl)pyridin-2-yl]amino}pyrido[2,3-d]pyrimidin-7(8H)-one,Palbociclib"
54,DB00282,Pamidronate Disodium,Pamidronic acid,"Pamidronate,Pamidronic acid"
55,DB09037,Pembrolizumab,Pembrolizumab,Lambrolizumab
56,DB06366,Perjeta (Pertuzumab),Pertuzumab,"2C4 Antibody,MOAB 2C4,Monoclonal Antibody 2C4,Pertuzumab,rhuMAb-2C4"
57,DB06366,Pertuzumab,Pertuzumab,"2C4 Antibody,MOAB 2C4,Monoclonal Antibody 2C4,Pertuzumab,rhuMAb-2C4"
58,DB00072,"Pertuzumab, Trastuzumab, and Hyaluronidase-zzxf",Trastuzumab,"RHUMAB HER2,trastuzumab-anns,trastuzumab-dkst,trastuzumab-dttb,trastuzumab-pkrb,trastuzumab-qyyp"
59,DB00072,"Phesgo (Pertuzumab, Trastuzumab, and Hyaluronidase-zzxf)",Trastuzumab,"RHUMAB HER2,trastuzumab-anns,trastuzumab-dkst,trastuzumab-dttb,trastuzumab-pkrb,trastuzumab-qyyp"
60,DB12015,Piqray (Alpelisib),Alpelisib,Alpelisib
61,DB11730,Ribociclib,Ribociclib,Ribociclib
62,DB12893,Sacituzumab Govitecan-hziy,Sacituzumab govitecan,"Sacituzumab govitecan,sacituzumab govitecan-hziy"
63,DB00675,Soltamox (Tamoxifen Citrate),Tamoxifen,"(Z)-2-(4-(1,2-Diphenyl-1-butenyl)phenoxy)-N,N-dimethylethanamine,(Z)-2-(para-(1,2-Diphenyl-1-butenyl)phenoxy)-N,N-dimethylamine,1-p-beta-Dimethylaminoethoxyphenyl-trans-1,2-diphenylbut-1-ene,1-para-beta-Dimethylaminoethoxyphenyl-trans-1,2-diphenylbut-1-ene,trans-Tamoxifen"
64,DB11760,Talazoparib Tosylate,Talazoparib,Talazoparib
65,DB11760,Talzenna (Talazoparib Tosylate),Talazoparib,Talazoparib
66,DB00675,Tamoxifen Citrate,Tamoxifen,"(Z)-2-(4-(1,2-Diphenyl-1-butenyl)phenoxy)-N,N-dimethylethanamine,(Z)-2-(para-(1,2-Diphenyl-1-butenyl)phenoxy)-N,N-dimethylamine,1-p-beta-Dimethylaminoethoxyphenyl-trans-1,2-diphenylbut-1-ene,1-para-beta-Dimethylaminoethoxyphenyl-trans-1,2-diphenylbut-1-ene,trans-Tamoxifen"
67,DB01248,Taxotere (Docetaxel),Docetaxel,"Docetaxel,Docetaxel anhydrous,N-Debenzoyl-N-(tert-butoxycarbonyl)-10-deacetylpaclitaxel,N-Debenzoyl-N-(tert-butoxycarbonyl)-10-deacetyltaxol,TXL"
68,DB11595,Tecentriq (Atezolizumab),Atezolizumab,Atezolizumab
69,DB04572,Tepadina (Thiotepa),Thiotepa,Thiotepa
70,DB04572,Thiotepa,Thiotepa,Thiotepa
71,DB00539,Toremifene,Toremifene,Toremifene
72,DB00072,Trastuzumab,Trastuzumab,"RHUMAB HER2,trastuzumab-anns,trastuzumab-dkst,trastuzumab-dttb,trastuzumab-pkrb,trastuzumab-qyyp"
73,DB00072,Trastuzumab and Hyaluronidase-oysk,Trastuzumab,"RHUMAB HER2,trastuzumab-anns,trastuzumab-dkst,trastuzumab-dttb,trastuzumab-pkrb,trastuzumab-qyyp"
74,DB00563,Trexall (Methotrexate Sodium),Methotrexate,"4-amino-10-methylfolic acid,4-amino-N(10)-methylpteroylglutamic acid,Amethopterin,Methotrexate,MTX,N-[4-[[(2,4-diamino-6-pteridinyl)methyl]methylamino]benzoyl]-L-glutamic acid"
75,DB12893,Trodelvy (Sacituzumab Govitecan-hziy),Sacituzumab govitecan,"Sacituzumab govitecan,sacituzumab govitecan-hziy"
76,DB11652,Tucatinib,Tucatinib,Tucatinib
77,DB11652,Tukysa (Tucatinib),Tucatinib,Tucatinib
78,DB01259,Tykerb (Lapatinib Ditosylate),Lapatinib,"Lapatinib,N-(3-chloro-4-((3-fluorophenyl)methoxy)phenyl)-6-(5-(((2-(methylsulfonyl)ethyl)amino)methyl)-2-furanyl)-4-quinazolinamine"
79,DB12001,Verzenio (Abemaciclib),Abemaciclib,Abemaciclib
80,DB00570,Vinblastine Sulfate,Vinblastine,Vincaleukoblastine
81,DB01101,Xeloda (Capecitabine),Capecitabine,"(1-(5-Deoxy-beta-D-ribofuranosyl)-5-fluoro-1,2-dihydro-2-oxo-4-pyrimidinyl)-carbamic acid pentyl ester,Capecitabine,Pentyl [1-(5-deoxy-β-D-ribofuranosyl)-5-fluoro-2-oxo-1,2-dihydropyrimidin-4-yl]carbamate,pentyl 1-(5-deoxy-β-D-ribofuranosyl)-5-fluoro-1,2-dihydro-2-oxo-4-pyrimidinecarbamate"
82,DB00014,Zoladex (Goserelin Acetate),Goserelin,Goserelin
