,DrugBank ID,NCI Drug Name,DrugBank Drug Name,All Synonyms
31,DB01042,Peptaxto (Melphalan Flufenamide Hydrochloride),Melphalan,"3-(p-(Bis(2-chloroethyl)amino)phenyl)-L-alanine,3-p-(Di(2-chloroethyl)amino)-phenyl-L-alanine,4-(Bis(2-chloroethyl)amino)-L-phenylalanine,L-3-(p-(Bis(2-chloroethyl)amino)phenyl)alanine,L-PAM,L-Phenylalanine mustard,L-Sarcolysine,Melphalan,p-Bis(beta-chloroethyl)aminophenylalanine,p-Di-(2-chloroethyl)amino-L-phenylalanine,p-L-Sarcolysin,p-N-Bis(2-chloroethyl)amino-L-phenylalanine,p-N,N-bis(2-chloroethyl)amino-L-phenylalanine,Phenylalanine mustard,Phenylalanine nitrogen mustard"
32,DB06809,Plerixafor,Plerixafor,Plerixafor
33,DB08910,Pomalidomide,Pomalidomide,Pomalidomide
34,DB08910,Pomalyst (Pomalidomide),Pomalidomide,Pomalidomide
35,DB00480,Revlimid (Lenalidomide),Lenalidomide,"1-oxo-2-(2,6-dioxopiperidin-3-yl)-4-aminoisoindoline,3-(4-Amino-1-oxoisoindolin-2-yl)piperidine-2,6-dione,Lenalidomide"
36,DB14811,Sarclisa (Isatuximab-irfc),Isatuximab,"Isatuximab,isatuximab-irfc"
37,DB11942,Selinexor,Selinexor,Selinexor
38,DB01041,Thalidomide,Thalidomide,"(+-)-N-(2,6-dioxo-3-Piperidyl)phthalimide,(+-)-Thalidomide,(±)-N-(2,6-dioxo-3-piperidyl)phthalimide,(±)-thalidomide,1,3-dioxo-2-(2,6-dioxopiperidin-3-yl)isoindoline,2,6-dioxo-3-phthalimidopiperidine,3-Phthalimidoglutarimide,alpha-(N-Phthalimido)glutarimide,alpha-N-Phthalylglutaramide,N-(2,6-dioxo-3-piperidyl)phthalimide,N-Phthaloylglutamimide,N-Phthalylglutamic acid imide,Thalidomide,α-(N-phthalimido)glutarimide,α-N-phthalylglutaramide,α-phthalimidoglutarimide"
39,DB01041,Thalomid (Thalidomide),Thalidomide,"(+-)-N-(2,6-dioxo-3-Piperidyl)phthalimide,(+-)-Thalidomide,(±)-N-(2,6-dioxo-3-piperidyl)phthalimide,(±)-thalidomide,1,3-dioxo-2-(2,6-dioxopiperidin-3-yl)isoindoline,2,6-dioxo-3-phthalimidopiperidine,3-Phthalimidoglutarimide,alpha-(N-Phthalimido)glutarimide,alpha-N-Phthalylglutaramide,N-(2,6-dioxo-3-piperidyl)phthalimide,N-Phthaloylglutamimide,N-Phthalylglutamic acid imide,Thalidomide,α-(N-phthalimido)glutarimide,α-N-phthalylglutaramide,α-phthalimidoglutarimide"
40,DB00188,Velcade (Bortezomib),Bortezomib,"[(1R)-3-methyl-1-({(2S)-3-phenyl-2-[(pyrazin-2-ylcarbonyl)amino]propanoyl}amino)butyl]boronic acid,Bortezomib,N-[(1R)-1-(DIHYDROXYBORYL)-3-methylbutyl]-N-(pyrazin-2-ylcarbonyl)-L-phenylalaninamide"
41,DB11942,Xpovio (Selinexor),Selinexor,Selinexor
42,DB00399,Zoledronic Acid,Zoledronic acid,"(1-hydroxy-2-(1H-imidazol-1-yl)ethylidene)bisphosphonic acid,(1-hydroxy-2-imidazol-1-ylethylidene)diphosphonic acid,Anhydrous Zoledronic Acid,Zol,Zoledronate,Zoledronic acid,Zoledronic Acid Anhydrous,Zoledronic Acid, Anhydrous"
43,DB00399,Zometa (Zoledronic Acid),Zoledronic acid,"(1-hydroxy-2-(1H-imidazol-1-yl)ethylidene)bisphosphonic acid,(1-hydroxy-2-imidazol-1-ylethylidene)diphosphonic acid,Anhydrous Zoledronic Acid,Zol,Zoledronate,Zoledronic acid,Zoledronic Acid Anhydrous,Zoledronic Acid, Anhydrous"
