gene	uniprot_accession
DEFA3	P59666
LTA4H	P09960
OR6K3	Q8NGY3
RWDD2B	P57060
EYA4	O95677
PRAMEF33	A0A0G2JMD5
RIT1	Q92963
RIT1	Q9C0K0
DDX31	Q9H8H2
UQCRHL	A0A096LP55
KRTAP5-1	Q6L8H4
ZFYVE21	Q9BQ24
GPHA2	Q96T91
ADCYAP1	P18509
CYLC1	P35663
C19orf54	Q5BKX5
EDN2	P20800
CDH24	Q86UP0
SGPP1	Q9BX95
MAPK7	Q13164
RPUSD2	Q8IZ73
FOS	P01100
LRIG3	Q6UXM1
STEAP1B	Q6NZ63
SLC31A1	O15431
FGF14	Q92915
CRIPT	Q9P021
PRIMPOL	Q96LW4
SNX32	Q86XE0
ZNF251	Q9BRH9
DEFB130A	P0DP74
SYNDIG1L	A6NDD5
OSTM1	Q86WC4
PPDPFL	Q8WWR9
CFAP206	Q8IYR0
PTPN7	P35236
ATP6V0C	P27449
PADI1	Q9ULC6
SERPINF1	P36955
KRT71	Q3SY84
GLI1	P08151
AGAP9	Q5VTM2
ICAM1	P05362
MIER1	Q8N108
NUCB1	Q02818
PITX2	Q99697
HNRNPH2	P55795
MAPKAPK3	Q16644
TPM4	P67936
VWA3B	Q502W6
TMX2	Q9Y320
CDH3	P22223
CDH3	P55291
APEH	P13798
BST2	Q10589
E2F7	Q96AV8
TPRX1	Q8N7U7
DKK4	Q9UBT3
GMPS	P49915
RTL3	Q8N8U3
GRIN2A	Q12879
ZNF674	Q2M3X9
C11orf97	A0A1B0GVM6
TSEN2	Q8NCE0
VPREB1	P12018
NFE2L2	Q16236
GAL3ST3	Q96A11
MRPS30	Q9NP92
SURF6	O75683
POU5F2	Q8N7G0
STAP1	Q9ULZ2
RAB19	A4D1S5
NUDT22	Q9BRQ3
UACA	Q9BZF9
ZMAT1	Q5H9K5
UQCRC2	P22695
UCKL1	Q9NWZ5
FAM120AOS	Q5T036
USP20	Q9Y2K6
UBASH3A	P57075
FBLN1	P23142
BRD4	O60885
ZNF623	O75123
FBXO16	Q8IX29
SUCO	Q9UBS9
TFAP2C	Q92754
DAB2	P98082
IFI27	P40305
BICDL1	Q6ZP65
INPP5F	Q9Y2H2
MMD2	Q8IY49
RNPS1	Q15287
RSPH4A	Q5TD94
POLR3F	Q9H1D9
RPS6KC1	Q96S38
AQP11	Q8NBQ7
PGLYRP4	Q96LB8
TP53TG5	Q9Y2B4
DDI1	Q8WTU0
PTTG1IP	P53801
NAV1	Q8NEY1
ACSBG1	Q96GR2
GBF1	Q92538
SLC4A1	P02730
STX17	P56962
PCDHA3	Q9Y5H8
SYTL2	Q9HCH5
NUDT14	O95848
H1-10	Q92522
KRTAP20-3	Q3LI60
RAB29	O14966
IL13RA1	P78552
LRRC71	Q8N4P6
ICAM4	Q14773
VIPAS39	Q9H9C1
TEN1	Q86WV5
P2RX1	P51575
ZNF292	O60281
OR10V1	Q8NGI7
TBC1D2B	Q9UPU7
ASB11	Q8WXH4
FETUB	Q9UGM5
TIGD5	Q53EQ6
MYO9A	B2RTY4
LRRC8C	Q8TDW0
IL15	P40933
COX6A2	Q02221
LZTR1	Q8N653
PRR16	Q569H4
SDHD	O14521
OR1L4	Q8NGR5
EBNA1BP2	Q99848
MUC5B	Q9HC84
MAP3K13	O43283
TAS2R41	P59536
MZT1	Q08AG7
RASL12	Q9NYN1
ZNRF1	Q8ND25
CEP192	Q8TEP8
PARP6	Q2NL67
SH3D21	A4FU49
KIAA0040	Q15053
RERG	Q96A58
SLFN13	Q68D06
IFNA7	P01567
P2RX5	Q93086
SLC13A4	Q9UKG4
MANF	P55145
ATP4B	P51164
TJP2	Q9UDY2
ZNF431	Q8TF32
VIPR2	P41587
EVX2	Q03828
COPS3	Q9UNS2
FBXO22	Q8NEZ5
KCTD18	Q6PI47
VWC2L	B2RUY7
APC	P25054
SAMD4A	Q9UPU9
TTC39B	Q5VTQ0
GDF10	P55107
ITPK1	Q13572
NMT2	O60551
CD3G	P09693
PUS3	Q9BZE2
DHX32	Q7L7V1
GNGT2	O14610
ZNF397	Q8NF99
DUSP13	Q6B8I1
DUSP13	Q9UII6
GYG2	O15488
LRP3	O75074
LRFN4	Q6PJG9
SNX12	Q9UMY4
ERAP2	Q6P179
WDR37	Q9Y2I8
SEC24D	O94855
CYP27A1	Q02318
TBCB	Q99426
CTAGE4	Q8IX94
MCM4	P33991
LAMA2	P24043
GJA9	P57773
GJA9	Q9UKL4
KANSL1L	A0AUZ9
XCL1	P47992
MAFG	O15525
PPP2R5B	Q15173
TAP2	Q03519
TAP2	Q9UDX4
CST9L	Q9H4G1
ANKRD52	Q8NB46
ARID5B	Q14865
GPATCH4	Q5T3I0
ZNF512	Q96ME7
NPIPB6	E9PJ23
ZNF132	P52740
WASF3	Q9UPY6
ZNF691	Q5VV52
MASP1	P48740
ZNF239	Q16600
CLINT1	Q14677
CNTRL	Q7Z7A1
ADPRH	P54922
TMOD1	P28289
BMP3	P12645
SLC25A35	Q3KQZ1
SGMS2	Q8NHU3
PTPN6	P29350
HOXB4	P17483
INPP5B	P32019
CLASRP	Q8N2M8
ZNF569	Q5MCW4
GLDC	P23378
DLX5	P56178
EYS	Q5T1H1
MAD2L1	Q13257
C7orf26	Q96N11
NIPA1	Q7RTP0
EN2	P19622
OIT3	Q8WWZ8
FAM149B1	Q96BN6
ACOT7	O00154
MAMLD1	Q13495
ADCY8	P40145
ZNF414	Q96IQ9
PGAP1	Q75T13
KLHL8	Q9P2G9
CRY1	Q16526
ZNF112	Q9UJU3
PLAAT4	Q9UL19
DNAAF2	Q9NVR5
LRBA	P50851
ACSS3	Q9H6R3
MAP1LC3C	Q9BXW4
GNAZ	P19086
VNN1	O95497
PCBP2	Q15366
RPL34	P49207
SCAMP1	O15126
SLC9C2	Q5TAH2
SLC1A2	P43004
SHISAL2A	Q6UWV7
CHCHD7	Q9BUK0
NDST4	Q9H3R1
GRHL3	Q8TE85
DERL3	Q96Q80
MEOX2	P50222
COLQ	Q9Y215
TP53I3	Q53FA7
ACTRT2	Q8TDY3
OR5A1	Q8NGJ0
BHLHA9	Q7RTU4
NBPF12	Q5TAG4
ZRANB3	Q5FWF4
PAPOLA	P51003
PKNOX1	P55347
LPCAT4	Q643R3
LPCAT4	Q6ZWT7
FBRSL1	Q9HCM7
MAP3K1	Q13233
H3C12,H3C3	P68431
LPAR5	Q9H1C0
EVC2	Q86UK5
CRAT	P43155
KCNE4	Q8WWG9
TUBA3E	Q6PEY2
ZBTB20	Q9HC78
ARSF	P54793
RNMT	O43148
NUDT11	Q96G61
SENP5	Q96HI0
SLC44A5	Q8NCS7
KRT16	P08779
WDR86	Q86TI4
GOLGA6L2	Q8N9W4
TMEM210	A6NLX4
POLDIP2	Q9Y2S7
UBE2O	Q9C0C9
ZNF710	Q8N1W2
MSX1	P28360
FAM171A2	A8MVW0
CNOT11	Q9UKZ1
KCNC2	Q96PR1
S100G	P29377
PGBD3	Q8N328
CELF4	Q9BZC1
TMEM106B	Q9NUM4
NEUROG2	Q9H2A3
MVD	P53602
PSENEN	Q9NZ42
WDR12	Q9GZL7
SYT9	Q86SS6
SEPSECS	Q9HD40
PDCD6IP	Q8WUM4
PRR35	P0CG20
SLC35C2	Q9NQQ7
ZFP91	Q96JP5
NDRG2	Q9UN36
ZNF157	P51786
NCEH1	Q6PIU2
OR51S1	Q8NGJ8
NPPC	P23582
MRPL34	Q9BQ48
MCF2L	O15068
COL23A1	Q86Y22
NUMA1	Q14980
HBD	P02042
CERKL	Q49MI3
UNKL	Q9H9P5
RAB8A	P61006
FAM78A	Q5JUQ0
CYSLTR2	Q9NS75
LRRC1	Q9BTT6
CHCHD3	Q9NX63
TOMM20L	Q6UXN7
GGT7	Q9UJ14
DDX39B	Q13838
RP9	Q8TA86
UBIAD1	Q9Y5Z9
PRPS2	P11908
KLHDC2	Q9Y2U9
SMTN	P53814
ELK3	P41970
FBLN2	P98095
TMPRSS11E	Q9UL52
ADAR	P55265
GABRA3	P34903
ZBTB7A	O95365
CCDC172	P0C7W6
ACSL4	O60488
CPLX1	O14810
KLHL36	Q8N4N3
STX18	Q9P2W9
CGNL1	Q0VF96
YEATS4	O95619
DEFB104A	Q8WTQ1
INPP5J	Q15735
ZC3H7B	Q9UGR2
SLC66A1L	A1A4F0
CCDC50	Q8IVM0
CORO7	P57737
YPEL2	Q96QA6
EIF2A	Q9BY44
ZNF76	P36508
LIMK2	P53671
IDI2	Q9BXS1
DCAF10	Q5QP82
GPSM2	P81274
VTI1B	Q9UEU0
CSRP1	P21291
MTRNR2L9	P0CJ76
RHOU	Q7L0Q8
DHRS7C	A6NNS2
CSF2RA	P15509
IL9R	Q01113
PRELP	P51888
ZDHHC19	Q8WVZ1
MMD	Q15546
VCAM1	P19320
HIGD1A	Q9Y241
SLCO2A1	Q92959
SLC30A3	Q99726
OR1C1	Q15619
DPYSL3	Q14195
CEP76	Q8TAP6
OLFML3	Q9NRN5
TESPA1	A2RU30
CNTNAP2	Q9UHC6
BAHCC1	Q9P281
ZNF729	A6NN14
NEB	P20929
C6orf136	Q5SQH8
FADS6	Q8N9I5
SELENBP1	Q13228
SH3GLB1	Q9Y371
HIC1	Q14526
ZNF644	Q9H582
HAUS7	Q99871
FBXO39	Q8N4B4
ZNF215	Q9UL58
TBCC	Q15814
CYGB	Q8WWM9
ZSCAN16	Q9H4T2
C1QBP	Q07021
H3-3A	P84243
XYLT1	Q86Y38
SH3TC1	Q8TE82
TCF25	Q9BQ70
ZNF850	A8MQ14
LMBRD1	Q9NUN5
CTRB1	P17538
WDR88	Q6ZMY6
GYS1	P13807
ZNF750	Q32MQ0
CSE1L	P55060
TBC1D3K	A0A087X1G2
MGAT3	Q09327
DEFB115	Q30KQ5
ACSM1	Q08AH1
LHX6	Q9UPM6
ADAM22	Q9P0K1
UPB1	Q9UBR1
ATP13A5	Q4VNC0
ACSBG2	Q5FVE4
ZNF772	Q68DY9
RSPH10B	P0C881
GIT1	Q9Y2X7
PITRM1	Q5JRX3
XAGE1B,XAGE1A	Q9HD64
ZNF709	Q8N972
CHRM5	P08912
TNFAIP8L1	Q8WVP5
DSEL	Q8IZU8
RNASE1	P07998
ZNF592	Q92610
KLC1	Q07866
ATAD3C	Q5T2N8
ERG	P11308
ERG	Q12809
PABPN1	Q86U42
FOXR2	Q6PJQ5
DTX3	Q8N9I9
GSTCD	Q8NEC7
ART5	Q96L15
OR52E6	Q96RD3
OR1D5	P58170
S1PR2	O95136
MT-ND6	P03923
KIDINS220	Q9ULH0
ZSCAN30	Q86W11
GPX3	P22352
CFB	P00751
ZASP	O75112
SPATA5	Q8NB90
ZNF615	Q8N8J6
SNRNP25	Q9BV90
TBPL1	P62380
PDLIM2	Q96JY6
GABPB1	Q06547
YOD1	Q5VVQ6
DDX21	Q9NR30
DDX21	Q9NY93
PRDM7	Q9NQW5
NIPAL3	Q6P499
B3GNT3	Q9Y2A9
RNFT2	Q96EX2
GBX1	Q14549
RLF	P51460
RLF	Q13129
BEX4	Q9NWD9
OR2A14	Q96R47
PDYN	P01213
CEP85L	Q5SZL2
LRRC4B	Q9NT99
POLL	Q9UGP5
MANSC1	Q9H8J5
ZNF670	Q9BS34
MAP3K5	Q99683
SRRM4	A7MD48
PPFIA1	Q13136
TPST1	O60507
NDUFA8	P51970
MPPED1	O15442
PLEKHB1	Q9UF11
STXBP5	Q5T5C0
CA3	P07451
USP48	Q86UV5
C20orf203	Q8NBC4
CRYAB	P02511
AKR7A2	O43488
KANSL1	Q7Z3B3
TAS2R40	P59535
ELMO1	Q92556
SHISA6	Q6ZSJ9
EFNB2	P52799
WDR31	Q8NA23
DEFB4B	O15263
TMEM8B	A6NDV4
PSG2	P11465
ATF1	P18846
LMBRD2	Q68DH5
NFRKB	Q6P4R8
AGAP4	Q96P64
OAS2	P29728
MRPS31	Q92665
MUC6	Q6W4X9
CHP1	Q99653
CHORDC1,CHP1	Q9UHD1
EXOC3L1	Q86VI1
MTFR1L	Q9H019
KRTAP10-8	P60410
CNTN3	Q9P232
POLD3	Q15054
GDF9	O60383
TLX2	O43763
RPS19BP1	Q86WX3
C7	P10643
P2RX4	Q99571
PNCK	Q6P2M8
ARL2BP	Q9Y2Y0
CDR2L	Q86X02
JMJD7	P0C870
WWP2	O00308
SAMD1	Q6SPF0
CATSPER4	Q7RTX7
MINDY4	Q4G0A6
RC3H2	Q9HBD1
PUS1	Q9Y606
WT1	P19544
WDR38	Q5JTN6
FAM156B	Q8NDB6
PTPDC1	A2A3K4
EEF1G	P26641
TRIM64C	A6NLI5
SLC10A4	Q96EP9
CRX	O43186
BBOX1	O75936
JAZF1	Q86VZ6
PI4KA	P42356
ZNF90	Q03938
CCDC28A	Q8IWP9
VPREB3	Q9UKI3
PCDHA13	Q9Y5I0
GGACT	Q9BVM4
KLHL24	Q6TFL4
SMC6	Q96SB8
GRB14	Q14449
CD99L2	Q8TCZ2
ATXN2L	Q8WWM7
TMEM106C	Q9BVX2
RHBDL2	Q9NX52
ZNF41	P51814
ARMH1	Q6PIY5
OR5P2	Q8WZ92
IRS2	Q9Y4H2
ZP2	Q05996
PALD1	Q9ULE6
KLF17	Q5JT82
SLC25A41	Q8N5S1
IBA57	Q5T440
TEDC1	Q86SX3
KLHL14	Q9P2G3
IPO8	O15397
ABHD14B	Q96IU4
LMAN1L	Q9HAT1
GRHL2	Q6ISB3
INSIG2	Q9Y5U4
AGL	P35573
KIF24	Q5T7B8
TYW1	Q9NV66
IL20RA	Q9UHF4
ERICH6	Q7L0X2
PAK4	O96013
ABCA3	Q99758
ANKRD16	Q6P6B7
USP17L21	D6R901
HTT	P31645
HTT	P42858
CHPF	Q8IZ52
PGAM2	P15259
COPB2	P35606
VIT	Q6UXI7
BTBD8	Q5XKL5
SLC26A9	Q7LBE3
YTHDF1	Q9BYJ9
MUC13	Q9H3R2
MCUR1	Q96AQ8
SLC39A2	Q9NP94
TRADD	Q15628
ZNF532	Q9HCE3
TSPY10	P0CW01
FAT2	Q9NYQ8
DNAAF9	Q5TEA3
CFAP221	Q4G0U5
CLTRN	Q9HBJ8
KBTBD7	Q8WVZ9
EFNB3	Q15768
DEFB106A	Q8N104
IRF9	Q00978
TMEM128	Q5BJH2
COG6	Q9Y2V7
OC90	Q02509
SNX10	Q9Y5X0
ZAR1L	A6NP61
SLC4A11	Q8NBS3
NR2C2	P49116
PLEKHG6	Q3KR16
CAPNS1	P04632
LYST	Q99698
C9orf92	A6NGG3
LDOC1	O95751
CSNK1A1	P48729
SPIC	Q8N5J4
LYPD6B	Q8NI32
SPATA1	Q5VX52
ZMYND12	Q9H0C1
OTUD4	Q01804
G2E3	Q7L622
NPIPA3	F8WFD2
SCIMP	Q6UWF3
GPR142	Q7Z601
KMT5B	Q4FZB7
MOK	Q9UQ07
XKRX	Q6PP77
ZCCHC4	Q9H5U6
ABLIM3	O94929
ZNF326	Q5BKZ1
ZFX	P17010
TBC1D30	Q9Y2I9
PGM2	Q96G03
NCSTN	Q92542
SALL2	Q9Y467
GDAP1L1	Q96MZ0
AMER2	Q8N7J2
RPL23A	P62750
MAPRE2	Q15555
ASCC1	Q8N9N2
PURB	Q96QR8
ZNF345	Q14585
PDCD11	Q14690
OR5K3	A6NET4
CNMD	O75829
OSR2	Q8N2R0
UBTF	P17480
OR2W5P	A6NFC9
PKM	P14618
PLCXD1	Q9NUJ7
EPB41L5	Q9HCM4
NRIP1	P48552
CLDN23	Q96B33
NXF1	Q9UBU9
SIGLEC1	Q9BZZ2
RTN1	Q16799
DHRS2	Q13268
VEZF1	Q14119
ADAT2	Q7Z6V5
CD40	P25942
TSTD1	Q8NFU3
EIF4H	Q15056
RPS6KB2	Q9UBS0
TEAD1	P28347
DAZ2	Q13117
TBL3	Q12788
BLOC1S2	Q6QNY1
ADGRG6	Q86SQ4
CFTR	P13569
BANK1	Q8NDB2
ZDHHC3	Q9NYG2
SLC5A10	A0PJK1
RPF2	Q9H7B2
KCNV2	Q8TDN2
UGT1A1	P22309
RMND1	Q9NWS8
GTPBP8	Q8N3Z3
DPPA4	Q7L190
MSMP	Q1L6U9
ZNF551	Q7Z340
BOK	Q9UMX3
ACTL9	Q8TC94
M6PR	P20645
OR1L1	Q8NH94
C11orf42	Q8N5U0
ARIH1	Q9Y4X5
DBT	P11182
PPP1R36	Q96LQ0
SBNO1	A3KN83
C15orf39	Q6ZRI6
CRKL	P46109
DNAJC6	O75061
TBC1D10C	Q8IV04
MYH7	P12883
ADAM8	P78325
LANCL3	Q6ZV70
NUP43	Q8NFH3
TAF3	Q5VWG9
CD55	P08174
OR9G4	Q8NGQ1
RAB39A	Q14964
BTBD9	Q96Q07
NAB1	Q13506
CHRND	Q07001
EIF2A,EIF2S1	P05198
FAM237A	A0A1B0GTK4
ITGB1BP2	Q9UKP3
EPM2AIP1	Q7L775
DERA	Q9Y315
UNC5CL	Q8IV45
KCNA2	P16389
GFRA3	O60609
SCFD2	Q8WU76
MRGPRG	Q86SM5
HLA-DRB5	Q30154
ST8SIA5	O15466
TM2D1	Q9BX74
SERPINB12	Q96P63
MANSC4	A6NHS7
FAM243A	B9A014
NCDN	Q9UBB6
OR7G3	Q8NG95
RPS27	P42677
C11orf94	C9JXX5
VAMP8	Q9BV40
COL21A1	Q96P44
EFEMP1	Q12805
RIMBP3C	A6NJZ7
TBC1D7	Q9P0N9
COX17	Q14061
KLRC2	P26717
TUBB8	Q3ZCM7
ITPA	Q9BY32
KRT33B	Q14525
NOP53	Q9NZM5
TMEM104	Q8NE00
PSPC1	Q8WXF1
SP140L	Q9H930
GTPBP6	O43824
ERLIN2	O94905
NLE1	Q9NVX2
RASA2	Q15283
CLK4	Q9HAZ1
DNAJA4	Q8WW22
KCNN2	Q9H2S1
SDHAF2	Q9NX18
ST8SIA1	Q92185
HCRTR1	O43613
ASB7	Q9H672
FAM90A1	Q86YD7
ELP2	Q6IA86
ARPC4	P59998
SHC3	Q92529
HOXA2	O43364
ABCB7	O75027
MKRN1	Q9UHC7
STUB1	Q9UNE7
KRTAP5-2	Q701N4
SPTBN5	Q9NRC6
EEF1AKMT2	Q5JPI9
LDB2	O43679
AKR1C3	P42330
SSBP2	P81877
POM121	Q96HA1
TASP1	Q9H6P5
CFAP20DC	Q6ZVT6
SLC24A1	O60721
FCAR	P24071
RBCK1	Q9BYM8
ZNF99	A8MXY4
C1orf68	Q5T750
ASB13	Q8WXK3
TMEM176B	Q3YBM2
RHOV	Q96L33
ALKBH1	Q13686
PCTP	Q9UKL6
WASHC2A	Q641Q2
PTPRA	P18433
AGO2	Q9UKV8
PHF21B	Q96EK2
ZNF443	Q9Y2A4
PIGZ	Q86VD9
ADGRE5	P48960
UFD1	Q92890
OR2T6	Q8NHC8
CPAMD8	Q8IZJ3
TNS1	Q9HBL0
APOC1	P02654
SLC25A40	Q8TBP6
SLC2A7	Q6PXP3
KBTBD6	Q86V97
VILL	O15195
FAHD1	Q6P587
CDCA2	Q69YH5
EXD1	Q8NHP7
GALNT18	Q6P9A2
TFIP11	Q9UBB9
POT1	Q9NUX5
DYNLT3	P51808
SHCBP1L	Q9BZQ2
GUSB	P08236
CD58	P19256
EFCAB7	A8K855
RNF113A	O15541
BIRC3	Q13489
GLS	O94925
GNG7	O60262
SON	P18583
PPARGC1B	Q86YN6
TSNARE1	Q96NA8
INTS3	Q68E01
RPL14	P50914
IRGM	A1A4Y4
PKMYT1	Q99640
WNT5B	Q9H1J7
GPR27	Q9NS67
PROSER2	Q86WR7
NUTM2A	Q8IVF1
PCGF1	Q9BSM1
PNPT1	Q8TCS8
DYNLT5	Q8N7M0
CFAP44	Q96MT7
IL21	Q9HBE4
MYEF2	Q9P2K5
RBSN	Q9H1K0
RGL4	Q8IZJ4
CPT1A	P50416
ITGAL	P20701
UBALD2	Q8IYN6
DNAJB6	O75190
CMTM2	Q8TAZ6
RSF1	Q96T23
ENPP3	O14638
ANAPC15	P60006
KPNA3	O00505
RBFOX1	Q9NWB1
CPTP	Q5TA50
RPL22	P35268
SLC20A1	Q8WUM9
SRSF3	P84103
ACOT11	Q8WXI4
SOX6	P35712
OR4F29	Q6IEY1
KIAA1191	Q96A73
CH25H	O95992
EBPL	Q9BY08
ALDOA	P04075
TPP2	P29144
FANCG	O15287
DNMBP	Q6XZF7
OR52N5	Q8NH56
CLDND1	Q9NY35
SSMEM1	Q8WWF3
ARFGAP1	Q8N6T3
ARFGAP1	Q9NP61
MTERF2	Q49AM1
PCOLCE	Q15113
ERVV-2	B6SEH9
NID2	Q14112
ODF4	Q2M2E3
SLC26A1	Q9H2B4
WIPF1	O43516
MPHOSPH6	Q99547
TAGAP	Q8N103
MTHFSD	Q2M296
GPR143	P51810
BCAS2	O75934
ZNF586	Q9NXT0
PPIAL4C	A0A0B4J2A2
GCC2	Q8IWJ2
ANTXR1	Q9H6X2
KATNA1	O75449
CAPS	Q13938
CAPS	Q9ULU8
MPHOSPH10	O00566
ERCC8	Q13216
C3	P01024
SHISAL1	Q3SXP7
MCPH1	Q8NEM0
MOGAT2	Q3SYC2
DGAT2L6	Q6ZPD8
EXOSC10	Q01780
LARP7	Q4G0J3
MIS12	Q9H081
SDR16C5	Q8N3Y7
TIGD1	Q96MW7
ERMP1	Q7Z2K6
FES	P07332
SRR	Q9GZT4
FAM20C	Q8IXL6
H4C7	Q99525
TAFA1	Q7Z5A9
ZDHHC5	Q9C0B5
MPV17L	Q2QL34
TTC23	Q5W5X9
FGFRL1	Q8N441
VSX2	P58304
GLYAT	Q6IB77
OR1S2	Q8NGQ3
TEX2	Q8IWB9
PACRG	Q96M98
SYBU	Q9NX95
ZNRF3	Q9ULT6
DSG3	P32926
DCAF1	Q9Y4B6
TBC1D15	Q8TC07
KCNH8	Q96L42
FGD3	Q5JSP0
VCAN	P13611
TNK1	Q13470
RASSF7	Q02833
NRG2	O14511
SNTN	A6NMZ2
LCN8	Q6JVE9
ZRANB1	Q9UGI0
RIN2	Q8WYP3
BCS1L	Q9Y276
SMARCB1	Q12824
WDR24	Q96S15
DHRSX	Q8N5I4
NSUN5	Q96P11
STXBP2	Q15833
RAB36	O95755
FAM124B	Q9H5Z6
ATP5F1C	P36542
PSME1	Q06323
POM121L2	Q96KW2
ITPRID2	P28290
TRIML2	Q8N7C3
PIAS2	O75928
ADAM30	Q9UKF2
ETNPPL	Q8TBG4
ZNF25	P17030
OR4K14	Q8NGD5
SMPDL3B	Q92485
UBASH3B	Q8TF42
LEAP2	Q969E1
CHRNE	Q04844
MED20	Q9H944
BPIFB3	P59826
NEDD1	Q8NHV4
UBE2U	Q5VVX9
SH3TC2	Q8TF17
ANXA8	P13928
XBP1	P17861
TOMM20	Q15388
C16orf87	Q6PH81
LSM4	Q9Y4Z0
CAD	O76075
CAD	P27708
CAD	Q05682
SLC16A3	O15427
CCL25	O15444
ZNF770	Q6IQ21
POTEB3	A0JP26
SCOC	Q9UIL1
NKX2-5	P52952
OSBPL11	Q9BXB4
LARP4	Q71RC2
PSMD11	O00231
HNRNPK	P61978
RIPK1	Q13546
GATA3	P23771
COG7	P83436
TGM4	P49221
SERAC1	Q96JX3
TOPAZ1	Q8N9V7
PCDHGB4	Q9UN71
NUDT7	P0C024
APOC3	P02656
TSPAN12	O95859
SLC8B1	Q6J4K2
DKK2	Q9UBU2
TTLL3	Q9Y4R7
SHCBP1	Q8NEM2
ACAD10	Q6JQN1
FIBIN	Q8TAL6
ANKRD13C	Q8N6S4
AP2B1	P63010
MUC19	Q7Z5P9
GUCY2F	P51841
ACACB	O00763
TRAF3IP3	Q9Y228
HSD11B1L	Q7Z5J1
ERC2	O15083
MYL12A	P19105
LYRM1	O43325
NANS	Q9NR45
CHCHD4	Q8N4Q1
MRPL43	Q8N983
YIPF1	Q9Y548
FAM184B	Q9ULE4
PHF1	O43189
FOXO4	P98177
MKRN2	Q9H000
CHIA	Q9BZP6
NELL2	Q99435
GPT2	Q8TD30
RNF11	Q9Y3C5
TSPYL2	Q9H2G4
ELMO3	Q96BJ8
NHLRC3	Q5JS37
CFAP97D2	A0A1B0GU71
DHRS12	A0PJE2
GABBR1	Q9UBS5
HIP1R	O75146
ATAD2B	Q9ULI0
ABRA	Q8N0Z2
DTNBP1	Q96EV8
ZNF560	Q96MR9
YIPF3	Q9GZM5
NPR2	P20594
NMU	P48645
IZUMO4	Q1ZYL8
GPM6A	P51674
LRRC38	Q5VT99
RGS7BP	Q6MZT1
CALML5	Q9NZT1
RETN	Q9HD89
PHF14	O94880
FAM162B	Q5T6X4
NKG7	Q16617
C2	P06681
PRDM8	Q9NQV8
SCP2D1	Q9UJQ7
VPS35	Q96QK1
SS18L1	O75177
ITGB4	P16144
GPN3	Q9UHW5
SEMA3A	Q14563
DPP4	P27487
FGD1	P98174
ZFP92	A6NM28
CYBA	P13498
MUSTN1	Q8IVN3
PBXIP1	Q96AQ6
IL21R	Q9HBE5
FBXO17	Q96EF6
VN1R2	Q8NFZ6
CEP120	Q8N960
RCAN3	Q9UKA8
CDON	Q4KMG0
AGBL4	Q5VU57
